training episode 1 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 2 of 500 complete,  explore val = 0.01, episode reward = 16.0
training episode 3 of 500 complete,  explore val = 0.01, episode reward = 67.0
training episode 4 of 500 complete,  explore val = 0.01, episode reward = 40.0
training episode 5 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 6 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 7 of 500 complete,  explore val = 0.01, episode reward = 33.0
training episode 8 of 500 complete,  explore val = 0.01, episode reward = 61.0
training episode 9 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 10 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 11 of 500 complete,  explore val = 0.01, episode reward = 39.0
training episode 12 of 500 complete,  explore val = 0.01, episode reward = 302.0
training episode 13 of 500 complete,  explore val = 0.01, episode reward = 50.0
training episode 14 of 500 complete,  explore val = 0.01, episode reward = 129.0
training episode 15 of 500 complete,  explore val = 0.01, episode reward = 62.0
training episode 16 of 500 complete,  explore val = 0.01, episode reward = 54.0
training episode 17 of 500 complete,  explore val = 0.01, episode reward = 50.0
training episode 18 of 500 complete,  explore val = 0.01, episode reward = 241.0
training episode 19 of 500 complete,  explore val = 0.01, episode reward = 241.0
training episode 20 of 500 complete,  explore val = 0.01, episode reward = 287.0
training episode 21 of 500 complete,  explore val = 0.01, episode reward = 56.0
training episode 22 of 500 complete,  explore val = 0.01, episode reward = 147.0
training episode 23 of 500 complete,  explore val = 0.01, episode reward = 120.0
training episode 24 of 500 complete,  explore val = 0.01, episode reward = 287.0
training episode 25 of 500 complete,  explore val = 0.01, episode reward = 177.0
training episode 26 of 500 complete,  explore val = 0.01, episode reward = 55.0
training episode 27 of 500 complete,  explore val = 0.01, episode reward = 73.0
training episode 28 of 500 complete,  explore val = 0.01, episode reward = 49.0
training episode 29 of 500 complete,  explore val = 0.01, episode reward = 54.0
training episode 30 of 500 complete,  explore val = 0.01, episode reward = 104.0
training episode 31 of 500 complete,  explore val = 0.01, episode reward = 92.0
training episode 32 of 500 complete,  explore val = 0.01, episode reward = 63.0
training episode 33 of 500 complete,  explore val = 0.01, episode reward = 61.0
