training episode 45 of 500 complete,  explore val = 0.01, episode reward = 39.0
training episode 46 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 47 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 48 of 500 complete,  explore val = 0.01, episode reward = 48.0
training episode 49 of 500 complete,  explore val = 0.01, episode reward = 145.0
training episode 50 of 500 complete,  explore val = 0.01, episode reward = 120.0
training episode 51 of 500 complete,  explore val = 0.01, episode reward = 162.0
training episode 52 of 500 complete,  explore val = 0.01, episode reward = 154.0
training episode 53 of 500 complete,  explore val = 0.01, episode reward = 448.0
training episode 54 of 500 complete,  explore val = 0.01, episode reward = 196.0
training episode 55 of 500 complete,  explore val = 0.01, episode reward = 21.0
training episode 56 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 57 of 500 complete,  explore val = 0.01, episode reward = 16.0
training episode 58 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 59 of 500 complete,  explore val = 0.01, episode reward = 120.0
training episode 60 of 500 complete,  explore val = 0.01, episode reward = 439.0
training episode 61 of 500 complete,  explore val = 0.01, episode reward = 390.0
training episode 62 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 63 of 500 complete,  explore val = 0.01, episode reward = 16.0
training episode 64 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 65 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 66 of 500 complete,  explore val = 0.01, episode reward = 18.0
training episode 67 of 500 complete,  explore val = 0.01, episode reward = 452.0
training episode 68 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 69 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 70 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 71 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 72 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 73 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 74 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 75 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 76 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 77 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 78 of 500 complete,  explore val = 0.01, episode reward = 393.0
training episode 79 of 500 complete,  explore val = 0.01, episode reward = 185.0
training episode 80 of 500 complete,  explore val = 0.01, episode reward = 109.0
training episode 81 of 500 complete,  explore val = 0.01, episode reward = 100.0
training episode 82 of 500 complete,  explore val = 0.01, episode reward = 21.0
training episode 83 of 500 complete,  explore val = 0.01, episode reward = 18.0
training episode 84 of 500 complete,  explore val = 0.01, episode reward = 17.0
training episode 85 of 500 complete,  explore val = 0.01, episode reward = 27.0
training episode 86 of 500 complete,  explore val = 0.01, episode reward = 18.0
training episode 87 of 500 complete,  explore val = 0.01, episode reward = 21.0
training episode 88 of 500 complete,  explore val = 0.01, episode reward = 20.0
training episode 89 of 500 complete,  explore val = 0.01, episode reward = 20.0
training episode 90 of 500 complete,  explore val = 0.01, episode reward = 24.0
training episode 91 of 500 complete,  explore val = 0.01, episode reward = 98.0
training episode 92 of 500 complete,  explore val = 0.01, episode reward = 133.0
training episode 93 of 500 complete,  explore val = 0.01, episode reward = 184.0
training episode 94 of 500 complete,  explore val = 0.01, episode reward = 156.0
training episode 95 of 500 complete,  explore val = 0.01, episode reward = 259.0
training episode 96 of 500 complete,  explore val = 0.01, episode reward = 243.0
training episode 97 of 500 complete,  explore val = 0.01, episode reward = 129.0
training episode 98 of 500 complete,  explore val = 0.01, episode reward = 178.0
training episode 99 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 100 of 500 complete,  explore val = 0.01, episode reward = 166.0
training episode 101 of 500 complete,  explore val = 0.01, episode reward = 162.0
training episode 102 of 500 complete,  explore val = 0.01, episode reward = 246.0
training episode 103 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 104 of 500 complete,  explore val = 0.01, episode reward = 299.0
training episode 105 of 500 complete,  explore val = 0.01, episode reward = 169.0
training episode 106 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 107 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 108 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 109 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 110 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 111 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 112 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 113 of 500 complete,  explore val = 0.01, episode reward = 72.0
training episode 114 of 500 complete,  explore val = 0.01, episode reward = 66.0
training episode 115 of 500 complete,  explore val = 0.01, episode reward = 64.0
training episode 116 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 117 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 118 of 500 complete,  explore val = 0.01, episode reward = 123.0
training episode 119 of 500 complete,  explore val = 0.01, episode reward = 197.0
training episode 120 of 500 complete,  explore val = 0.01, episode reward = 212.0
training episode 121 of 500 complete,  explore val = 0.01, episode reward = 251.0
training episode 122 of 500 complete,  explore val = 0.01, episode reward = 376.0
training episode 123 of 500 complete,  explore val = 0.01, episode reward = 244.0
training episode 124 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 125 of 500 complete,  explore val = 0.01, episode reward = 207.0
training episode 126 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 127 of 500 complete,  explore val = 0.01, episode reward = 309.0
training episode 128 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 129 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 130 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 131 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 132 of 500 complete,  explore val = 0.01, episode reward = 55.0
training episode 133 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 134 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 135 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 136 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 137 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 138 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 139 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 140 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 141 of 500 complete,  explore val = 0.01, episode reward = 102.0
training episode 142 of 500 complete,  explore val = 0.01, episode reward = 155.0
training episode 143 of 500 complete,  explore val = 0.01, episode reward = 322.0
training episode 144 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 145 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 146 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 147 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 148 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 149 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 150 of 500 complete,  explore val = 0.01, episode reward = 500.0
