training episode 44 of 250 complete,  explore val = 0.802, episode reward = 41.0
training episode 45 of 250 complete,  explore val = 0.798, episode reward = 16.0
training episode 46 of 250 complete,  explore val = 0.794, episode reward = 23.0
training episode 47 of 250 complete,  explore val = 0.79, episode reward = 18.0
training episode 48 of 250 complete,  explore val = 0.786, episode reward = 12.0
training episode 49 of 250 complete,  explore val = 0.782, episode reward = 35.0
training episode 50 of 250 complete,  explore val = 0.778, episode reward = 12.0
training episode 51 of 250 complete,  explore val = 0.774, episode reward = 22.0
training episode 52 of 250 complete,  explore val = 0.771, episode reward = 24.0
training episode 53 of 250 complete,  explore val = 0.767, episode reward = 49.0
training episode 54 of 250 complete,  explore val = 0.763, episode reward = 13.0
training episode 55 of 250 complete,  explore val = 0.759, episode reward = 17.0
training episode 56 of 250 complete,  explore val = 0.755, episode reward = 17.0
training episode 57 of 250 complete,  explore val = 0.751, episode reward = 128.0
training episode 58 of 250 complete,  explore val = 0.748, episode reward = 41.0
training episode 59 of 250 complete,  explore val = 0.744, episode reward = 97.0
training episode 60 of 250 complete,  explore val = 0.74, episode reward = 40.0
training episode 61 of 250 complete,  explore val = 0.737, episode reward = 53.0
training episode 62 of 250 complete,  explore val = 0.733, episode reward = 15.0
training episode 63 of 250 complete,  explore val = 0.729, episode reward = 30.0
training episode 64 of 250 complete,  explore val = 0.726, episode reward = 41.0
training episode 65 of 250 complete,  explore val = 0.722, episode reward = 40.0
training episode 66 of 250 complete,  explore val = 0.718, episode reward = 44.0
training episode 67 of 250 complete,  explore val = 0.715, episode reward = 13.0
training episode 68 of 250 complete,  explore val = 0.711, episode reward = 17.0
training episode 69 of 250 complete,  explore val = 0.708, episode reward = 22.0
training episode 70 of 250 complete,  explore val = 0.704, episode reward = 24.0
training episode 71 of 250 complete,  explore val = 0.701, episode reward = 56.0
training episode 72 of 250 complete,  explore val = 0.697, episode reward = 25.0
training episode 73 of 250 complete,  explore val = 0.694, episode reward = 49.0
training episode 74 of 250 complete,  explore val = 0.69, episode reward = 54.0
training episode 75 of 250 complete,  explore val = 0.687, episode reward = 11.0
training episode 76 of 250 complete,  explore val = 0.683, episode reward = 74.0
training episode 77 of 250 complete,  explore val = 0.68, episode reward = 71.0
training episode 78 of 250 complete,  explore val = 0.676, episode reward = 79.0
training episode 79 of 250 complete,  explore val = 0.673, episode reward = 25.0
training episode 80 of 250 complete,  explore val = 0.67, episode reward = 93.0
training episode 81 of 250 complete,  explore val = 0.666, episode reward = 38.0
training episode 82 of 250 complete,  explore val = 0.663, episode reward = 66.0
training episode 83 of 250 complete,  explore val = 0.66, episode reward = 26.0
training episode 84 of 250 complete,  explore val = 0.656, episode reward = 117.0
training episode 85 of 250 complete,  explore val = 0.653, episode reward = 98.0
training episode 86 of 250 complete,  explore val = 0.65, episode reward = 23.0
training episode 87 of 250 complete,  explore val = 0.647, episode reward = 18.0
training episode 88 of 250 complete,  explore val = 0.643, episode reward = 92.0
training episode 89 of 250 complete,  explore val = 0.64, episode reward = 73.0
training episode 90 of 250 complete,  explore val = 0.637, episode reward = 118.0
training episode 91 of 250 complete,  explore val = 0.634, episode reward = 43.0
training episode 92 of 250 complete,  explore val = 0.631, episode reward = 144.0
training episode 93 of 250 complete,  explore val = 0.627, episode reward = 40.0
training episode 94 of 250 complete,  explore val = 0.624, episode reward = 135.0
training episode 95 of 250 complete,  explore val = 0.621, episode reward = 25.0
training episode 96 of 250 complete,  explore val = 0.618, episode reward = 47.0
training episode 97 of 250 complete,  explore val = 0.615, episode reward = 43.0
training episode 98 of 250 complete,  explore val = 0.612, episode reward = 65.0
training episode 99 of 250 complete,  explore val = 0.609, episode reward = 80.0
training episode 100 of 250 complete,  explore val = 0.606, episode reward = 12.0
training episode 101 of 250 complete,  explore val = 0.603, episode reward = 97.0
training episode 102 of 250 complete,  explore val = 0.6, episode reward = 19.0
training episode 103 of 250 complete,  explore val = 0.597, episode reward = 180.0
training episode 104 of 250 complete,  explore val = 0.594, episode reward = 200.0
training episode 105 of 250 complete,  explore val = 0.591, episode reward = 216.0
training episode 106 of 250 complete,  explore val = 0.588, episode reward = 126.0
training episode 107 of 250 complete,  explore val = 0.585, episode reward = 13.0
